OtsuT,KittlerT,LloydT,SungT,RidlerT,HuangT,RameshT,Li1T,Li2T,BrinkT,KapurT,SahooT,ShanbhagT,YenT,TsaiT
0.284314,0.601961,0.031373,0.280392,0.288949,0.284314,0.539216,0.274395,0.280392,0.362745,0.44902,0.44902,0.598039,0.44902,0.370588
0.496078,0.433333,0.321357,0.5,0.501691,0.503922,0.323529,0.490421,0.492157,0.390196,0.652941,0.649124,0.711765,0.652941,0.562745
0.268627,0.582353,0.027451,0.264706,0.273361,0.256863,0.527451,0.258799,0.264706,0.362745,0.429412,0.429412,0.578431,0.429412,0.354902
0.684314,0.809804,0.533,0.782353,0.713299,0.754902,0.62549,0.646038,0.660784,0.664706,0.688235,0.688235,0.468627,0.688235,0.7
0.680392,0.770588,0.484317,0.747059,0.68113,0.672549,0.609804,0.600777,0.621569,0.629412,0.645098,0.645098,0.42549,0.645098,0.660784
0.64902,0.739216,0.442407,0.715686,0.651621,0.660784,0.582353,0.563708,0.590196,0.598039,0.758824,0.741215,0.390196,0.601961,0.652941
0.62549,0.703922,0.406231,0.688235,0.625219,0.652941,0.554902,0.529721,0.598039,0.558824,0.715686,0.735665,0.370588,0.743137,0.664706
0.601961,0.672549,0.374307,0.660784,0.60312,0.558824,0.582353,0.55121,0.570588,0.637255,0.703922,0.707981,0.362745,0.715686,0.672549
0.562745,0.605882,0.320829,0.613725,0.564048,0.519608,0.562745,0.50112,0.527451,0.601961,0.652941,0.665187,0.390196,0.672549,0.664706
0.543137,0.57451,0.297891,0.590196,0.547409,0.496078,0.55098,0.479439,0.503922,0.590196,0.629412,0.646679,0.394118,0.652941,0.652941
0.523529,0.547059,0.276949,0.570588,0.529361,0.464706,0.543137,0.460796,0.492157,0.57451,0.609804,0.622546,0.441176,0.629412,0.641176
0.511765,0.511765,0.258741,0.55098,0.515811,0.441176,0.539216,0.442685,0.476471,0.566667,0.594118,0.611192,0.433333,0.617647,0.637255
0.503922,0.488235,0.241523,0.535294,0.505049,0.476471,0.535294,0.426487,0.460784,0.562745,0.578431,0.587669,0.429412,0.594118,0.62549
0.492157,0.460784,0.226514,0.523529,0.493396,0.437255,0.562745,0.410485,0.44902,0.547059,0.562745,0.571972,0.433333,0.578431,0.617647
