Valoare pixel,Clasa pixel,Average threshold,Midrange threshold,White threshold,Bernsen threshold,Niblack threshold,Sauvola threshold,Wolf threshold,Phansalkar threshold,Nick threshold,Gaussian threshold
0.329412,1,0.809483,0.311157,0.404741,0.311157,0.772596,0.553457,0.404741,0.682255,0.64347,0.724639
0.890196,0,0.858964,0.308435,0.429482,0.308435,0.837924,0.519493,0.429482,0.689725,0.685957,0.866711
0.937255,0,0.855909,0.295494,0.427954,0.295494,0.821202,0.575902,0.427954,0.716524,0.681274,0.842798
0.901961,0,0.939544,0.040538,0.469772,0.040538,0.936186,0.485489,0.469772,0.712704,0.751636,0.942198
0.921569,0,0.924536,0.065136,0.462268,0.065136,0.918779,0.48878,0.462268,0.706888,0.739607,0.929037
0.847059,0,0.832506,0.296655,0.416253,0.296655,0.797237,0.56249,0.416253,0.698188,0.662344,0.883331
0.819608,0,0.80338,0.031565,0.40169,0.031565,0.800763,0.41216,0.40169,0.608312,0.642703,0.807193
0.921569,0,0.919005,0.072249,0.459502,0.072249,0.913759,0.483512,0.459502,0.701493,0.735213,0.92178
0.870588,0,0.817818,0.297286,0.408909,0.297286,0.785362,0.541107,0.408909,0.680181,0.651105,0.788449
0.882353,0,0.878081,0.081384,0.439041,0.081384,0.87222,0.464673,0.439041,0.671698,0.702391,0.883807
0.917647,0,0.911545,0.04489,0.455773,0.04489,0.907753,0.472986,0.455773,0.6925,0.729235,0.910461
0.976471,0,0.969569,0.03301,0.484784,0.03301,0.966524,0.499488,0.484784,0.734676,0.776062,0.964321
0.847059,0,0.852428,0.012226,0.426214,0.5,0.850549,0.434191,0.426214,0.643664,0.68201,0.853784
0.878431,0,0.86295,0.311865,0.431475,0.311865,0.832813,0.561,0.431475,0.712537,0.687865,0.862497
0.972549,0,0.965469,0.033141,0.482735,0.033141,0.962151,0.498693,0.482735,0.732236,0.772399,0.967541
0.803922,0,0.761193,0.26083,0.380597,0.26083,0.734749,0.480847,0.380597,0.62197,0.606778,0.747831
0.305882,1,0.763242,0.30526,0.381621,0.30526,0.732871,0.497072,0.381621,0.631123,0.607623,0.733319
0.901961,0,0.897255,0.069481,0.448627,0.069481,0.891366,0.474943,0.448627,0.686378,0.717851,0.892273
0.854902,0,0.800878,0.298862,0.400439,0.298862,0.773429,0.509926,0.400439,0.65615,0.63841,0.823859
